"Source:","/home/tom/git/TomKeddie/prj-pcb-experiments/ft4232h-breakout/v3.x/ft4232h-breakout.kicad_sch"
"Date:","Thu 19 May 2022 01:47:25 PM"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","73"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"","","U3","AT93C46DN-SH-T","Memory_EEPROM:93CxxA","tom-semiconductors:SO-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001749K.pdf","","","C6499","","","","","","",""
"","","VR1","LM1117MPX-3.3","tom-semiconductors:LM1117MPX-3.3","tom-semiconductors:VREG_LM1117MPX-3.3","","","296-41282-1-ND","C6186","Texas Instruments","1.80 mm","","","","O","IPC-7351B"
"","","X1","12MHz","tom-passives:CRYSTAL_4PIN","tom-passives:Crystal_SMD_3225-4Pin_3.2x2.5mm","","","","C9002","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Colour","DIGIKEY","LCSC","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MFG","MFGPN","MPN","PARTREV","STANDARD"
"1","2","C1, C2","10uF_10V_X5R ","jlcpcb-basic-capacitor-0603:10uF_10V_X5R ","tom-passives:C_0603_1608Metric","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf","","","C19702","","","Samsung Electro-Mechanics","CL10A106KP8NNNC","","",""
"2","14","C3, C7, C8, C9, C10, C11, C13, C14, C16, C18, C19, C20, C21, C22","100nF_50V_X7R ","jlcpcb-basic-capacitor-0402:100nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf","","","C307331","","","Samsung Electro-Mechanics","CL05B104KB54PNC","","",""
"3","2","C4, C6","20pF_50V_C0G ","jlcpcb-basic-capacitor-0402:20pF_50V_C0G ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf","","","C1554","","","FH(Guangdong Fenghua Advanced Tech)","0402CG200J500NT","","",""
"4","3","C5, C15, C17","4.7uF_10V_X5R ","jlcpcb-basic-capacitor-0402:4.7uF_10V_X5R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191211_Samsung-Electro-Mechanics-CL05A475MP5NRNC_C23733.pdf","","","C23733","","","Samsung Electro-Mechanics","CL05A475MP5NRNC","","",""
"5","1","C12","10nF_50V_X7R ","jlcpcb-basic-capacitor-0402:10nF_50V_X7R ","tom-passives:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191223_Samsung-Electro-Mechanics-CL05B103KB5NNNC_C15195.pdf","","","C15195","","","Samsung Electro-Mechanics","CL05B103KB5NNNC","","",""
"6","1","D1","LED","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","","","C2290","","","","","","",""
"7","1","D2","TXA","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"8","1","D3","RXA","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
"9","1","D4","TXB","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","WHT","","C2290","","","","","","",""
"10","1","D5","RXB","tom-opto:LED","tom-opto:LED_0603_1608Metric","~","RED","","C2290","","","","","","",""
